@id,name,amenity,`addr:street`,addr:city,`@lat`,`@lon`
5194917728,Pharmacie C.H.U Hassan II صيدلية الحسن الثاني,pharmacy,Avenue My Rachid Route de Sefrou Zohor 2 Lotis Laila,Fès,34.0076473,-4.9779753
5201978023,Pharmacie Al Inaya صيدلية العناية,pharmacy,Avenue Karouyine شارع القرويين,Fès,34.0166064,-4.9775556
5203942033,Pharmacie Al Ikhwa صيدلية الإخوة,pharmacy,Route Ain Chkef,Fès,34.0069752,-5.0085257
5203986721,Pharmacie Haoudi صيدلية هاودي,pharmacy,Avenue Karouyine شارع القرويين,Fès,34.0196338,-4.9851537
5204002337,Pharmacie Najmi صيدلية نجمي,pharmacy,Hay anas rte ain chkef,Fès,34.0067506,-5.0053672
5204049521,Pharmacie La Victoire صيدلية النصر,pharmacy,Avenue Abi Horaira Zohor 1,Fès,34.0178887,-4.9862395
5206234024,Pharmacie Fatima Ezzahra صيدلية فاطمة الزهراء,pharmacy,2 LOT TOURIA ANAS 3,Fès,34.0046872,-5.0014405
5207338425,Pharmacie El Houda صيدلية الهدى,pharmacy,Avenue Abi Horaira Zohor 1,Fès,34.0171254,-4.9894159
5216068021,Pharmacie Bakkali صيدلية البقالي,pharmacy,Route Ain Chkef,Fès,34.0103035,-5.0057817
5217881721,Pharmacie Florida صيدلية فلوريدا,pharmacy,Hay Anass 3,Fès,34.0076467,-5.0031474
5217885522,Pharmacie Mont Fleuri صيدلية الجبل,pharmacy,Avenue Karama Zohour 1,Fès,34.0152601,-4.9860772
5219627522,Pharmacie Al Yousr صيدلية اليسر,pharmacy,Complexe Salalam rte immouzer,Fès,34.012366,-5.0027424
5231444736,Pharmacie Al Fadila صيدلية الفضيلة,pharmacy,Avenue Karama Zohour 1,Fès,34.0114188,-4.988769
5239191223,Pharmacie Ryad صيدلية الرياض,pharmacy,Avenue Ibn Khatteb acces bouremana,Fès,34.0265672,-4.9935021
5239191257,Pharmacie Ghizlane صيدلية غزلان,pharmacy,RTE DE SEFROULOTISS OUAFAE N 342 FES,Fés,34.0057403,-4.9687656
5239191525,Pharmacie l'Entente صيدلية الإتفاق,pharmacy,160 LOTTI ERAC HAY WIFAK RTE AIN SMEN,Fès,34.0242974,-4.9897763
5239191530,Pharmacie Route de Sefrou صيدلية طريق صفرو,pharmacy,Boulevard Moulay Rachid,Fès,34.0212182,-4.9879182
5239335924,Pharmacie Faculté de Médecine صيدلية كلية الطب,pharmacy,hay elamal rte de sefrou,Fès فاس,34.0076423,-4.9652236
5240910822,Pharmacie Fès Shore صيدلية فاس شور,pharmacy,Route du parc Fes-Shore,Fès فاس,34.0093643,-4.9616705
5241087321,Pharmacie Nour El Houda صيدلية نور الهدى,pharmacy,BVD Israe,Fès,34.0129244,-4.965755
5244010021,Pharmacie Champs de Courses صيدلية ملعب الخيل,pharmacy,champs de Cours,Fès فاس,34.036918,-5.0152573
5244887442,Pharmacie Firdaous صيدلية الفردوس,pharmacy,Avenue Al Manama Zohour 1,Fès,34.0146357,-4.9897963
5250338721,Pharmacie de l'Hôpital Universitaire صيدلية المستشفى الجامعي,pharmacy,Al Madina Mounawara,Fès ⴼⴰⵙ فاس,34.0106557,-4.9657329
5251848522,Pharmacie Ibn Hazm صيدلية بن حزم,pharmacy,,Fès,34.0091231,-4.9695833
5260991734,Pharmacie Yasmine صيدلية ياسمين,pharmacy,BVD D'oran mont fleuri 2,Fès,34.0102284,-4.9880887
5263513421,Pharmacie Ben Cheikh صيدلية ابن الشيخ,pharmacy,,Fés,34.0127576,-4.9700355
5263754721,Pharmacie Al Wassila صيدلية الوسيلة,pharmacy,200 ROUTE DE SEFROU LOTTI WAFAE FEZ,Fès,34.0063267,-4.9737192
5269865621,Pharmacie Al Fajr صيدلية الفجر,pharmacy,Av Ocean Pacifique Hay Riad,Fès ⴼⴰⵙ فاس,34.0154938,-4.9630375
5270743531,Pharmacie Beyrout صيدلية بيروت,pharmacy,139 av bayrout mont fleuri 1,Fès,34.0078871,-4.984039
5270743624,Pharmacie Lahbabi صيدلية لحبابي,pharmacy,BV BAYROUT Résidence Rawd Azhar Mont fleuri,Fès,34.0044736,-4.9892319
